sentence,intent,cluster
Pay pay bill bitch,Make a Payment,11
Fuck billing give me some fucking body,Make a Payment,17
Pay your fucking bills pay your fucking bill spectrum goddamn fucking else,Make a Payment,10
My fucking bill pay my bill pay my bill before you pay my bill,Make a Payment,10
To pay my bill damn,Make a Payment,0
To pay the fucking bill,Make a Payment,0
To pay my fucking bill bitch,Make a Payment,0
Trying to pay my fucking bills,Make a Payment,0
To pay the goddamn bill,Make a Payment,0
To pay my fucking bill,Make a Payment,0
I would like to pay my phone bill for next month twenty dollars,Make a Payment,7
Yes pay a bill for fucking,Make a Payment,10
Pay my bill for shut up no,Make a Payment,10
Yes pay the fucking bill,Make a Payment,10
I would like to pay my phone bill eight dollars and ninety nine cents,Make a Payment,2
How about paid my monthly bill yet,Make a Payment,10
How about paying for a sorry ass bill,Make a Payment,0
I'd like to pay ten dollars towards my bill,Make a Payment,1
I would like to pay fifty nine ninety nine on my mobile bill,Make a Payment,2
I'd like to pay my bill seven five dollars,Make a Payment,1
I would like to pay forty seven fifty on my bill,Make a Payment,1
I'd like to pay my bill the seven seven three four please,Make a Payment,1
I'd like to pay on the bill the fourteen ninety nine,Make a Payment,2
I'd like to pay my bill at seven oh seven five Julian,Make a Payment,1
No chat pay my bill,Make a Payment,3
No pay my cell phone bill,Make a Payment,3
I'd like to pay this one bill seventeen ninety nine for my phone,Make a Payment,2
To pay the bill and update the information for Marcus Caswell,Make a Payment,17
I would like to pay my bill when the hold on it is twenty nine fifty seven,Make a Payment,1
No Internet and pay my bill,Make a Payment,3
No Internet pay my bill whatever,Make a Payment,3
No house pay my phone bill,Make a Payment,7
I need to pay the bill and disconnect the service please,Make a Payment,28
Pay bill by data,Make a Payment,7
Technical support and I'd like to pay my bill,Make a Payment,17
Paying over the phone pay my bill,Make a Payment,7
Reduce bill by fifteen dollars,Increased Bill,4
Thirty dollar bill reduction,Increased Bill,4
Thirty dollar reduction in bill,Increased Bill,4
Why is my phone my next bill for eighteen,Increased Bill,2
Why is my bill so high if I speak to a three one five,Increased Bill,29
Why am I paying ten dollars on my bill for ESPN,Increased Bill,25
Pay my bill in an outage,Make a Payment,7
Pay bill don't let him,Make a Payment,10
Pay my bill give me the pencil,Make a Payment,17
Pay my bill make a ticket,Make a Payment,17
Pay my bill give me the remote,Make a Payment,5
Pay bill give me a remote,Make a Payment,5
Pay my bill I want service,Make a Payment,13
Pay my bills same time,Make a Payment,17
Pay some of my phone bill,Make a Payment,7
Pay my friend's cell phone bill,Make a Payment,6
Pay my daughter's phone bill,Make a Payment,6
Pay my bill or phone,Make a Payment,7
Pay my granddaughter's phone bill,Make a Payment,6
Pay my phone bill on eighteenth,Make a Payment,2
Pay by phone paying my bill,Make a Payment,7
Pay my bill and my phones disconnected,Make a Payment,7
Pay my bill by by phone,Make a Payment,7
Pay my bill by phone,Make a Payment,7
Pay my current bill by phone,Make a Payment,7
Pay my cell or my cable bill,Make a Payment,8
Pay my bill over phone,Make a Payment,7
Pay my spectrum bill pay my mobile,Make a Payment,8
Pay my mobile my spectrum bill my cable bill,Make a Payment,8
Pay my spectrum bill my mobile account bill,Make a Payment,8
Pay my bill pay my spectrum Internet down,Make a Payment,8
Pay my bill my spectrum bill and my mobile bill,Make a Payment,8
Pay my spectrum bill my spectrum mobile bill,Make a Payment,8
Pay my bill add a line,Make a Payment,9
Pay my Internet bill my phone bill and my watch,Make a Payment,8
Add a new line pay my bill,Make a Payment,9
Pay my bill without it being cut off,Make a Payment,7
Need to pay my bill and sixty four dollars,Make a Payment,1
Pay bill with the whole card because I can't see the hold,Make a Payment,7
No service no get a bill,Make a Payment,3
The bill and turn it,Make a Payment,4
Pay my bill stupid voice off,Make a Payment,7
No fucking idea pay the bill,Make a Payment,0
Fucking god pay my mobile bill,Make a Payment,8
Pay my bill debit bitch,Make a Payment,11
Pay my bill bloodsuckers,Make a Payment,10
Pay my phone bill bitch,Make a Payment,7
Trying to pay my fucking bill you dumb bitch,Make a Payment,0
Damn to lower my bill,Make a Payment,26
K pay fucking bill,Make a Payment,11
Billing Holmesville pay the fucking bill,Make a Payment,11
Pay a bill so you fucking stop calling me every goddamn day,Make a Payment,0
Pay his bill and get my fucking money back from this bitch,Make a Payment,11
Can I just pay pay my bill pay my bill pay my fucking bill,Make a Payment,10
Stupid bitch pay bill,Make a Payment,11
Inquiring about prices for service and bill,StatementBalance,13
What is the grace period for your bill due nine thirty twenty three,StatementBalance,20
Pay bill restore services,Make a Payment,12
Pay bill and restore services,Make a Payment,12
Discrepancy with services and billing,Transfer,13
Getting service billing service,Transfer,13
Operator's assistance about getting a better cable bill deal,Transfer,14
Speak to a rep concerning billing of Disney,Transfer,16
My auto bill on my autopay I want to discuss that with someone please,Transfer,15
Like to speak with an operator to pay cable bill,Transfer,14
Upgrade my gosh help with my billing,Transfer,16
Service WePay for bill we have no service,Transfer,13
Pay bill and give me the customer care,Transfer,17
Past bill Texas,Transfer,18
Question bill question service,Transfer,13
Some expo bill customer offer,Transfer,17
My bill and why I was shut off,Transfer,3
Appointment at billings Montana office,Transfer,19
Billing bill dispute the first just need to shit service,Transfer,13
The twenty four ninety nine on my bill this month and August the twentieth,Transfer,20
Setting up paying bill on the fourth Wednesday of the month twenty seventh,Transfer,20
Getting an online account restore services pay bill,Transfer,12
Reducing my bill with customer solution team,Transfer,22
Lowering my bill speak to customer retention,Transfer,22
Payment for my services billing,Transfer,13
Following up my ACB application billing department,Transfer,15
Questions on my bill customer retention,Transfer,22
A charge on my bill my discover bill a charge on my discover bill,Transfer,21
Surcharge on my bill surcharge on my bill,Transfer,21
Security code and my bill security code on my bill on my bill,Transfer,21
My bill is too high retention,Transfer,22
A discount on my bill a discount on my bill a discount on my bill,Transfer,21
My bill is too high customer retention team,Transfer,22
My bill is too high retention department,Transfer,22
Retention services please my bills are way too high,Transfer,22
Payment center I can pay my bill,Transfer,7
Technical grocery store pay my bill,Transfer,17
To my billing and remove service,Transfer,28
Service home service on my billing,Transfer,13
I should be clear,Balance Inquiry,23
Speaker bill,Transfer,18
What did my previous billing cycle come to?,What is my previous statement amount,24
Why was I charged twenty eight dollars on my bill for eight four,Increased Bill,30
You billed me seven hundred and fifty dollars on September nineteenth why,Increased Bill,20
What do I have one hundred and seven dollar bill,Increased Bill,1
About my cable bill why is it two hundred and sixty two dollars,Increased Bill,25
The bill is forty four dollars and ninety eight cents why,Increased Bill,20
Did you get that bill for one hundred and twenty two dollars,Increased Bill,29
What is the twenty three dollars and fifty cent one outlet charge for on my cable bill,Increased Bill,25
What's the total due for my service bill this month?,How much is due,13
Cleveland bill last payment just give me a call of a cash,Increased Bill,1
I want to rearrange my service because my bill is getting too high,Increased Bill,28
My bill is a little too high I need to work on lowering my bill,Increased Bill,26
I'm trying to get a new promotions my bill is too high,Increased Bill,27
I need to lower my bill I'm just getting new equipment,Increased Bill,26
My bill is too high I'm trying to find out different packages,Increased Bill,26
My bill too high I'm looking for a new promotion,Increased Bill,27
My bill is too high I need to get rid of some of my services,Increased Bill,28
My bill is too high I'm gonna cut my services,Increased Bill,28
My bill is too high I'm gonna have to disconnect fencing,Increased Bill,28
My bill is too expensive and I need to disconnect,Increased Bill,28
My bill is getting too high I wanna disconnect my service,Increased Bill,28
My last bill tells me that I need some updated equipment,Increased Bill,16
My bill is too high I am considering disconnecting,Increased Bill,28
My bill is too high I need to go back to basic,Increased Bill,26
I need a new promo my bill is too high,Increased Bill,27
My bill is too high I need to change plans,Increased Bill,26
I'm Bak calling about my bill why is my Internet not on,Increased Bill,3
Yes ma'am I'm calling about my bill why my bill is so high,Increased Bill,2
Yes did you see how much water bill is seventy dollars,Increased Bill,25
To pay my bill and ask why it went up five or six dollars,Increased Bill,29
To pay my bill and find out why it's thirty dollars,Increased Bill,29
To pay my bill and question why it went up in for six dollars and two cents,Increased Bill,29
Does the bill for one hundred sixty nine dollars and ninety eight cents cover more than one month,Increased Bill,20
Why is my spectrum bill gone from one hundred and five dollars to one hundred and eleven dollars,Increased Bill,25
Oh my bill from nine seven to ten six is two hundred and nine dollars why is that,Increased Bill,29
Why did the bill change from fourteen ninety nine to nineteen ninety nine,Increased Bill,20
My phone bill went from fourteen ninety nine to nineteen ninety nine why,Increased Bill,2
Why am I being billed thirty nine ninety nine instead of twenty nine ninety nine,Increased Bill,20
If I go to automatic pay does my bill go back down to seventy nine ninety nine,Increased Bill,15
